Teljaar;NormDUOVSV;Niveau
2016-2017;NULL;NULL
2016-2017;23500;1
2016-2017;9500;2
2016-2017;3600;3
2016-2017;2750;4
2017-2018;23500;1
2017-2018;9400;2
2017-2018;3500;3
2017-2018;2750;4
2018-2019;NULL;NULL
2018-2019;22400;1
2018-2019;8600;2
2018-2019;3200;3
2018-2019;2700;4
2019-2020;NULL;NULL
2019-2020;22200;1
2019-2020;8450;2
2019-2020;3100;3
2019-2020;2700;4
2020-2021;NULL;NULL
2020-2021;22800;1
2020-2021;9710;2
2020-2021;3990;3
2020-2021;3340;4
2021-2022;NULL;NULL
2021-2022;22600;1
2021-2022;9580;2
2021-2022;3890;3
2021-2022;3250;4
2022-2023;NULL;NULL
2022-2023;22400;1
2022-2023;9450;2
2022-2023;3800;3
2022-2023;3170;4
2023-2024;NULL;NULL
2023-2024;22200;1
2023-2024;9330;2
2023-2024;3700;3
2023-2024;3080;4
2024-2025;NULL;NULL
2024-2025;22000;1
2024-2025;9200;2
2024-2025;3600;3
2024-2025;3000;4
